firm_id,name,city_id,city,Y,L,T,price
0,泰州诚达精工新材料有限公司,79,泰州市,353443.0,172.0,13.3608,3293.215975091312
1,朝阳县金路废旧轮胎回收加工有限公司,45,朝阳市,23401.0,117.0,1.138896,1460.0226886388225
2,济南丰慧节能环保技术有限公司,128,济南市,33500.0,372.0,5.6983,1107.3478054858467
3,英山承庆鞋业有限公司,171,黄冈市,26280.0,286.0,6.2401,2498.068941202865
4,邱县合众康复橡胶制品有限公司,5,邯郸市,164810.0,349.0,3.3111,842.6202772492525
5,德阳市南塔化工有限责任公司,229,德阳市,176813.0,421.0,17.6857,2040.0
6,临洮县洮大饲料有限责任公司,278,定西市,40600.0,146.0,2.0,1140.0
7,西安东风电器制造厂,258,西安市,27968.0,270.0,1.05,2344.175238095238
8,湖北同威汽车配件有限公司,173,随州市,34466.0,64.0,12.37,1278.092158447858
9,湖北统香食品有限公司,164,十堰市,256790.0,107.0,9.02936,2746.595550515208
10,湖北福居家具有限公司,168,荆门市,29919.0,106.0,5.447,1700.3143014503396
11,湖北大发建材科技有限公司,169,孝感市,41627.0,253.0,2.95559,1021.7926031689104
12,长兴翎耀纺织有限公司,85,湖州市,32244.0,79.0,0.7769,1982.237096151371
13,郎溪和心化纤织造有限公司,107,宣城市,30293.0,164.0,2.0816,1052.075326671791
14,马鞍山市三川机械制造有限公司,96,马鞍山市,28950.0,25.0,3.2077,1650.0
15,安徽中亚纸业有限公司,102,阜阳市,88506.0,358.0,5.1197,1084.0478934312555
16,安徽奥特佳科技发展有限公司,101,滁州市,23286.0,173.0,11.1547,1685.388222005074
17,福建万祥食品有限公司,113,漳州市,25536.0,118.0,1.988,1050.0
18,赤峰元易生物质科技有限责任公司,27,赤峰市,28800.0,159.0,8.81646,601.1483066899867
19,夏邑庄妍服饰有限公司,158,商丘市,78965.0,55.0,2.1682,800.9828429111703
20,河南郑起港机制造有限公司,160,周口市,74652.0,174.0,10.9209,840.5900612586875
21,驻马店市鼎盛精密铸造有限公司,161,驻马店市,63000.0,24.0,7.333636,1800.0000272716015
22,荣成市百泉水产食品有限公司,137,威海市,75318.0,337.0,1.4455,2117.319266689726
23,临沂市沃达机械有限公司,140,临沂市,25889.0,307.0,1.3334,839.9580020998951
24,苍山中科八益瑞泰新材料有限公司,140,临沂市,52585.0,302.0,2.5333,1681.601073698338
25,菏泽润和化工有限公司,144,菏泽市,106802.0,216.0,5.4,1375.925925925926
26,山东省阳信恒源石油制品有限公司,143,滨州市,29574.0,397.0,1.9031,1445.0107718984814
27,山东昊明伟石化有限公司,140,临沂市,37012.0,57.0,3.3334,1601.9679606407872
28,浙江神启重工机械有限公司,85,湖州市,42728.0,86.0,1.1058,2306.022788931091
29,安徽省环宇大成电子科技有限责任公司,104,六安市,27650.0,193.0,2.741,1605.2535570959503
30,安徽成路文化发展有限公司,101,滁州市,34555.0,295.0,13.20914,840.0244073421889
31,环球新材料科技（吉安）有限公司,124,吉安市,81594.0,203.0,5.67315,959.9971796973464
32,江西正宇生物科技有限公司,125,宜春市,34271.0,79.0,4.766,840.012589173311
33,永兴金沅金属有限责任公司,183,郴州市,66312.0,184.0,2.533,1200.0
34,重庆华驰文具有限公司,224,重庆市,34539.0,40.0,0.8722,1440.0
35,江苏三麦面业有限公司,74,连云港市,25867.0,225.0,3.4553,1201.05345411397
36,泛博制动部件（武汉）有限公司,162,武汉市,198437.0,223.0,3.332997,4500.454095818268
37,自贡市俐安皮具有限公司,226,自贡市,59251.0,24.0,2.203,1650.0
38,山东曙创电子科技有限公司,144,菏泽市,155422.0,88.0,8.22288,705.3489774872064
39,湖北远蓝机器有限公司,165,宜昌市,45745.0,180.0,6.66522,1200.0000000000002
40,河北亿丰童车有限公司,5,邯郸市,17510.0,365.0,2.666667,1289.9998387500202
41,黑龙江佰润塑业有限责任公司,66,绥化市,106045.0,232.0,1.943625,1167.9207666087852
42,黑龙江百富达包装有限公司,66,绥化市,59694.0,337.0,2.96179,1259.9998649465356
43,易能（中国）环保科技有限公司,96,马鞍山市,21698.0,357.0,3.811425,3641.682572791017
44,六安远大精密机械有限公司,104,六安市,25840.0,327.0,2.3078,1559.927203397175
45,安徽陆海石油助剂科技有限公司,104,六安市,24033.0,385.0,2.7548,1056.338028169014
46,重庆好康运动器材有限公司,224,重庆市,66910.0,220.0,1.093148,3366.424308510833
47,南京德惠新材料科技有限公司,68,南京市,20636.0,334.0,1.9749,1443.111043597144
48,山东亨格尔制造股份有限公司,139,莱芜市,83688.0,299.0,7.1494,1685.456122192072
49,泰安市腾宇重工有限公司,136,泰安市,22156.0,328.0,1.9365,2550.9940614510715
50,东台恒舜数控精密机械科技有限公司,76,盐城市,33333.0,404.0,19.9995,1749.9999999999998
51,宁波爱宝硅胶科技有限公司,82,宁波市,93997.0,394.0,1.0501,5188.020188553472
52,株洲市德信磁电科技有限公司,175,株洲市,28417.0,260.0,1.89415,1769.9759786711718
53,广元市太阳坪金矿有限公司,231,广元市,205421.0,39.0,4.378,975.3312014618548
54,四川久盛通信科技有限公司,235,南充市,50171.0,82.0,3.3333,846.0084600846008
55,四川东和欣包装科技有限公司,237,宜宾市,64350.0,53.0,4.69862,974.9884008496113
56,汝南县中天阳光门业有限公司,161,驻马店市,28750.0,57.0,1.1434,962.0430295609584
57,驻马店市恒天纤维科技有限公司,161,驻马店市,45317.0,294.0,5.01225,975.609756097561
58,山东东阿百年堂阿胶生物制品有限公司,142,聊城市,28627.0,50.0,1.9746,1056.000202572673
59,禹城市万通动力机械配件有限公司,141,德州市,24407.0,311.0,0.6477,1698.3171221244402
60,云南潘祥记工贸有限公司,249,昆明市,42080.0,97.0,1.4755,4499.491697729583
61,无锡市晟茂铜业科技有限公司,69,无锡市,500361.0,384.0,0.6668,3540.0000000000005
62,天津科禄格通风设备有限公司,1,天津市,36009.0,117.0,1.35,2555.555555555556
63,大连伊维实业有限公司,34,大连市,125036.0,669.0,1.0,3500.0
64,浦项长兴（大连）板材加工有限公司,34,大连市,384470.0,326.0,46.0,3500.0
65,湖北兴冶特钢实业发展有限公司,167,鄂州市,139232.0,452.0,4.9652,2209.9999999999995
